Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.073217481,8.301306323,1.514725707,-2.161359723,13.57260314,11.81876595,10.83472707,11.456167,10.78852169,9.564189658,6.816147786,8.364085733,6.059530891,5.641530693,5.321759884,6.594245994,7.612774475,..
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,122.2692026,118.4572043,109.5938136,116.8004911,133.1698125,158.2434581,189.3457375,237.146256,316.4104751,696.3484291,739.7020223,793.4732472,829.7909825,893.0098354,982.1031615,1055.810916,1133.882797,..
Ethiopia,ETH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.662458109,-8.237844534,0.675089102,13.6740452,3.327370479,9.969971235,12.29947631,17.24040083,44.35668588,10.68711503,13.83303566,15.80963217,20.35634686,26.83952216,33.88987971,30.21882781,21.03774606,..
Ethiopia,ETH,Gini index,SI.POV.GINI,..,..,..,..,29.8,..,..,..,..,..,..,..,..,31.1,..,..,..,..
Ethiopia,ETH,"Population, total",SP.POP.TOTL,67411494,69487762,71635517,73832663,76077206,78367470,80703490,83103217,85543668,109666481,112664152,115737383,118917671,122138588,125384287,128691692,132059767,..
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.88,51.428,52.085,52.877,53.735,54.364,55.402,56.566,57.733,64.766,65.257,65.741,65.969,65.33,66.897,67.315,67.603,..
Ethiopia,ETH,"School enrollment, primary (% gross)",SE.PRM.ENRR,52.23873138,57.13069916,59.60435867,60.70214081,63.56570816,74.50968933,79.23293304,85.46972656,91.45301819,101.2239915,..,..,112.670171,101.338921,84.6317734,83.73197459,84.41601021,..
Ethiopia,ETH,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,..,..,7.629374715,8.372678156,7.939965025,7.127199897,7.631709191,8.243960378,6.59591829,5.539270822,..
Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.7,10.2,11.9,13.5,15.2,14,18.6,20.3,22,44.3,44.8,48,51.1,54.2,55.4,55.4,..,..
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.889,10.649,10.641,11.168,10.072,10.551,9.692,9.28,8.268,12.792,12.329,11.936,13.697,13.158,9.231,7.947,6.801,5.97
Brazil,BRA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,17.5,16.2,17.1,15.3,13.7,11.4,10.8,9.1,7,6.9,7,2.8,7.5,4.9,3.8,3,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,6.55448E+11,5.59984E+11,5.09795E+11,5.58234E+11,6.69289E+11,8.91634E+11,1.10763E+12,1.39711E+12,1.69586E+12,2.06351E+12,1.91693E+12,1.87329E+12,1.47611E+12,1.67065E+12,1.95192E+12,2.19113E+12,2.18582E+12,..
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.387949444,1.389896404,3.053461857,1.140828999,5.759964637,3.202132062,3.961988709,6.069870607,5.094195448,1.322869054,1.783666761,1.220777823,-3.276758796,4.76260438,3.016694354,3.241655328,3.419315166,..
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,3766.547863,3176.289751,2855.940171,3090.606891,3663.822625,4827.781659,5934.145619,7409.690038,8908.333385,10080.50787,9300.660729,9029.833044,7074.194075,7972.536961,9281.332821,10377.58977,10310.54888,..
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.044141059,6.840359025,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,3.44637335,3.664850284,3.732976212,3.211768038,8.301659756,9.28010609,4.593562823,4.367464077,..
Brazil,BRA,Gini index,SI.POV.GINI,..,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.3,53.9,53.5,48.8,52.9,51.9,51.5,50.3,..
Brazil,BRA,"Population, total",SP.POP.TOTL,174018282,176301203,178503484,180622688,182675143,184688101,186653106,188552320,190367302,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.584,69.98,70.396,70.884,71.361,71.832,72.296,72.73,73.111,75.383,75.633,75.809,74.506,73.038,74.872,75.848,76.023,..
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,109.7887497,108.7200089,107.682991,105.9122314,103.9293976,104.6674194,..,104.2969131,..
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,10.18804801,12.37171067,14.23059027,15.18078371,16.54576151,15.24382927,14.3743163,13.3276751,13.53400051,12.51896787,14.6349995,14.12291919,16.45355201,19.10943037,19.630765,17.9693243,17.93857944,..
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.4,96,96.7,97,96.8,97.1,97.6,98.1,98.5,99.8,99.7,99.8,99.7,99.5,100,99.8,..,..
